HOME_CODE,HOME_TEAM,DATE,TIME,AWAY_CODE,AWAY_TEAM,LOCATION,HASHTAG,TVSHEDULE,TICKETS,MATCHCENTRE,HOME_TICKETS,HOME_SHOP,HOME_TWITTER,AWAY_TICKETS,AWAY_SHOP,AWAY_TWITTER
CHE,Chelsea,22-01-2020,18:45:00,ARS,Arsenal,"Stamford Bridge, London",#CHEARS,,,,,,,,,
CRY,Crystal Palace,22-01-2020,19:00:00,SOU,Southampton,"Selhurst Park, London",#CRYSOU,,,,,,,,,
TOT,Tottenham Hotspur,22-01-2020,18:45:00,NOR,Norwich City,"Tottenham Hotspur Stadium, London",#TOTNOR,,,,,,,,,
BOU,Bournemouth,01-02-2020,14:00:00,VIL,Aston Villa,"Vitality Stadium, Bournemouth",#BOUVIL,,,,,,,,,
BUR,Burnley,01-02-2020,14:00:00,ARS,Arsenal,"Turf Moor, Burnley",#BURARS,,,,,,,,,
CRY,Crystal Palace,01-02-2020,14:00:00,SUN,Sheffield United,"Selhurst Park, London",#CRYSUN,,,,,,,,,
LEI,Leicester City,01-02-2020,14:00:00,CHE,Chelsea,"King Power Stadium, Leicester",#LEICHE,,,,,,,,,
LIV,Liverpool,01-02-2020,14:00:00,SOU,Southampton,"Anfield, Liverpool",#LIVSOU,,,,,,,,,
MUN,Manchester United,01-02-2020,14:00:00,WOL,Wolverhampton Wanderers,"Old Trafford, Manchester",#MUNWOL,,,,,,,,,
NEW,Newcastle United,01-02-2020,14:00:00,NOR,Norwich City,"St. James' Park, Newcastle",#NEWNOR,,,,,,,,,
TOT,Tottenham Hotspur,01-02-2020,14:00:00,MCI,Manchester City,"Tottenham Hotspur Stadium, London",#TOTMCI,,,,,,,,,
WAT,Watford,01-02-2020,14:00:00,EVE,Everton,"Vicarage Road, Watford",#WATEVE,,,,,,,,,
WHU,West Ham United,01-02-2020,14:00:00,BHA,Brighton & Hove Albion,"London Stadium, London",#WHUBHA,,,,,,,,,
ARS,Arsenal,08-02-2020,14:00:00,NEW,Newcastle United,"Emirates Stadium, London",#ARSNEW,,,,,,,,,
VIL,Aston Villa,08-02-2020,14:00:00,TOT,Tottenham Hotspur,"Villa Park, Birmingham",#VILTOT,,,,,,,,,
BHA,Brighton & Hove Albion,08-02-2020,14:00:00,WAT,Watford,"Amex Stadium, Falmer",#BHAWAT,,,,,,,,,
CHE,Chelsea,08-02-2020,14:00:00,MUN,Manchester United,"Stamford Bridge, London",#CHEMUN,,,,,,,,,
EVE,Everton,08-02-2020,14:00:00,CRY,Crystal Palace,"Goodison Park, Liverpool",#EVECRY,,,,,,,,,
MCI,Manchester City,08-02-2020,14:00:00,WHU,West Ham United,"Etihad Stadium, Manchester",#MCIWHU,,,,,,,,,
NOR,Norwich City,08-02-2020,14:00:00,LIV,Liverpool,"Carrow Road, Norwich",#NORLIV,,,,,,,,,
SUN,Sheffield United,08-02-2020,14:00:00,BOU,Bournemouth,"Bramall Lane, Sheffield",#SUNBOU,,,,,,,,,
SOU,Southampton,08-02-2020,14:00:00,BUR,Burnley,"St. Mary's Stadium, Southampton",#SOUBUR,,,,,,,,,
WOL,Wolverhampton Wanderers,08-02-2020,14:00:00,LEI,Leicester City,"Molineux Stadium, Wolverhampton",#WOLLEI,,,,,,,,,
ARS,Arsenal,22-02-2020,14:00:00,EVE,Everton,"Emirates Stadium, London",#ARSEVE,,,,,,,,,
BUR,Burnley,22-02-2020,14:00:00,BOU,Bournemouth,"Turf Moor, Burnley",#BURBOU,,,,,,,,,
CHE,Chelsea,22-02-2020,14:00:00,TOT,Tottenham Hotspur,"Stamford Bridge, London",#CHETOT,,,,,,,,,
CRY,Crystal Palace,22-02-2020,14:00:00,NEW,Newcastle United,"Selhurst Park, London",#CRYNEW,,,,,,,,,
LEI,Leicester City,22-02-2020,14:00:00,MCI,Manchester City,"King Power Stadium, Leicester",#LEIMCI,,,,,,,,,
LIV,Liverpool,22-02-2020,14:00:00,WHU,West Ham United,"Anfield, Liverpool",#LIVWHU,,,,,,,,,
MUN,Manchester United,22-02-2020,14:00:00,WAT,Watford,"Old Trafford, Manchester",#MUNWAT,,,,,,,,,
SUN,Sheffield United,22-02-2020,14:00:00,BHA,Brighton & Hove Albion,"Bramall Lane, Sheffield",#SUNBHA,,,,,,,,,
SOU,Southampton,22-02-2020,14:00:00,VIL,Aston Villa,"St. Mary's Stadium, Southampton",#SOUVIL,,,,,,,,,
WOL,Wolverhampton Wanderers,22-02-2020,14:00:00,NOR,Norwich City,"Molineux Stadium, Wolverhampton",#WOLNOR,,,,,,,,,
VIL,Aston Villa,29-02-2020,14:00:00,SUN,Sheffield United,"Villa Park, Birmingham",#VILSUN,,,,,,,,,
BOU,Bournemouth,29-02-2020,14:00:00,CHE,Chelsea,"Vitality Stadium, Bournemouth",#BOUCHE,,,,,,,,,
BHA,Brighton & Hove Albion,29-02-2020,14:00:00,CRY,Crystal Palace,"Amex Stadium, Falmer",#BHACRY,,,,,,,,,
EVE,Everton,29-02-2020,14:00:00,MUN,Manchester United,"Goodison Park, Liverpool",#EVEMUN,,,,,,,,,
MCI,Manchester City,29-02-2020,14:00:00,ARS,Arsenal,"Etihad Stadium, Manchester",#MCIARS,,,,,,,,,
NEW,Newcastle United,29-02-2020,14:00:00,BUR,Burnley,"St. James' Park, Newcastle",#NEWBUR,,,,,,,,,
NOR,Norwich City,29-02-2020,14:00:00,LEI,Leicester City,"Carrow Road, Norwich",#NORLEI,,,,,,,,,
TOT,Tottenham Hotspur,29-02-2020,14:00:00,WOL,Wolverhampton Wanderers,"Tottenham Hotspur Stadium, London",#TOTWOL,,,,,,,,,
WAT,Watford,29-02-2020,14:00:00,LIV,Liverpool,"Vicarage Road, Watford",#WATLIV,,,,,,,,,
WHU,West Ham United,29-02-2020,14:00:00,SOU,Southampton,"London Stadium, London",#WHUSOU,,,,,,,,,
ARS,Arsenal,07-03-2020,14:00:00,WHU,West Ham United,"Emirates Stadium, London",#ARSWHU,,,,,,,,,
BUR,Burnley,07-03-2020,14:00:00,TOT,Tottenham Hotspur,"Turf Moor, Burnley",#BURTOT,,,,,,,,,
CHE,Chelsea,07-03-2020,14:00:00,EVE,Everton,"Stamford Bridge, London",#CHEEVE,,,,,,,,,
CRY,Crystal Palace,07-03-2020,14:00:00,WAT,Watford,"Selhurst Park, London",#CRYWAT,,,,,,,,,
LEI,Leicester City,07-03-2020,14:00:00,VIL,Aston Villa,"King Power Stadium, Leicester",#LEIVIL,,,,,,,,,
LIV,Liverpool,07-03-2020,14:00:00,BOU,Bournemouth,"Anfield, Liverpool",#LIVBOU,,,,,,,,,
MUN,Manchester United,07-03-2020,14:00:00,MCI,Manchester City,"Old Trafford, Manchester",#MUNMCI,,,,,,,,,
SUN,Sheffield United,07-03-2020,14:00:00,NOR,Norwich City,"Bramall Lane, Sheffield",#SUNNOR,,,,,,,,,
SOU,Southampton,07-03-2020,14:00:00,NEW,Newcastle United,"St. Mary's Stadium, Southampton",#SOUNEW,,,,,,,,,
WOL,Wolverhampton Wanderers,07-03-2020,14:00:00,BHA,Brighton & Hove Albion,"Molineux Stadium, Wolverhampton",#WOLBHA,,,,,,,,,
VIL,Aston Villa,14-03-2020,14:00:00,CHE,Chelsea,"Villa Park, Birmingham",#VILCHE,,,,,,,,,
BOU,Bournemouth,14-03-2020,14:00:00,CRY,Crystal Palace,"Vitality Stadium, Bournemouth",#BOUCRY,,,,,,,,,
BHA,Brighton & Hove Albion,14-03-2020,14:00:00,ARS,Arsenal,"Amex Stadium, Falmer",#BHAARS,,,,,,,,,
EVE,Everton,14-03-2020,14:00:00,LIV,Liverpool,"Goodison Park, Liverpool",#EVELIV,,,,,,,,,
MCI,Manchester City,14-03-2020,14:00:00,BUR,Burnley,"Etihad Stadium, Manchester",#MCIBUR,,,,,,,,,
NEW,Newcastle United,14-03-2020,14:00:00,SUN,Sheffield United,"St. James' Park, Newcastle",#NEWSUN,,,,,,,,,
NOR,Norwich City,14-03-2020,14:00:00,SOU,Southampton,"Carrow Road, Norwich",#NORSOU,,,,,,,,,
TOT,Tottenham Hotspur,14-03-2020,14:00:00,MUN,Manchester United,"Tottenham Hotspur Stadium, London",#TOTMUN,,,,,,,,,
WAT,Watford,14-03-2020,14:00:00,LEI,Leicester City,"Vicarage Road, Watford",#WATLEI,,,,,,,,,
WHU,West Ham United,14-03-2020,14:00:00,WOL,Wolverhampton Wanderers,"London Stadium, London",#WHUWOL,,,,,,,,,
BUR,Burnley,21-03-2020,14:00:00,WAT,Watford,"Turf Moor, Burnley",#BURWAT,,,,,,,,,
CHE,Chelsea,21-03-2020,14:00:00,MCI,Manchester City,"Stamford Bridge, London",#CHEMCI,,,,,,,,,
LEI,Leicester City,21-03-2020,14:00:00,BHA,Brighton & Hove Albion,"King Power Stadium, Leicester",#LEIBHA,,,,,,,,,
LIV,Liverpool,21-03-2020,14:00:00,CRY,Crystal Palace,"Anfield, Liverpool",#LIVCRY,,,,,,,,,
MUN,Manchester United,21-03-2020,14:00:00,SUN,Sheffield United,"Old Trafford, Manchester",#MUNSUN,,,,,,,,,
NEW,Newcastle United,21-03-2020,14:00:00,VIL,Aston Villa,"St. James' Park, Newcastle",#NEWVIL,,,,,,,,,
NOR,Norwich City,21-03-2020,14:00:00,EVE,Everton,"Carrow Road, Norwich",#NOREVE,,,,,,,,,
SOU,Southampton,21-03-2020,14:00:00,ARS,Arsenal,"St. Mary's Stadium, Southampton",#SOUARS,,,,,,,,,
TOT,Tottenham Hotspur,21-03-2020,14:00:00,WHU,West Ham United,"Tottenham Hotspur Stadium, London",#TOTWHU,,,,,,,,,
WOL,Wolverhampton Wanderers,21-03-2020,14:00:00,BOU,Bournemouth,"Molineux Stadium, Wolverhampton",#WOLBOU,,,,,,,,,
ARS,Arsenal,04-04-2020,15:00:00,NOR,Norwich City,"Emirates Stadium, London",#ARSNOR,,,,,,,,,
VIL,Aston Villa,04-04-2020,15:00:00,WOL,Wolverhampton Wanderers,"Villa Park, Birmingham",#VILWOL,,,,,,,,,
BOU,Bournemouth,04-04-2020,15:00:00,NEW,Newcastle United,"Vitality Stadium, Bournemouth",#BOUNEW,,,,,,,,,
BHA,Brighton & Hove Albion,04-04-2020,15:00:00,MUN,Manchester United,"Amex Stadium, Falmer",#BHAMUN,,,,,,,,,
CRY,Crystal Palace,04-04-2020,15:00:00,BUR,Burnley,"Selhurst Park, London",#CRYBUR,,,,,,,,,
EVE,Everton,04-04-2020,15:00:00,LEI,Leicester City,"Goodison Park, Liverpool",#EVELEI,,,,,,,,,
MCI,Manchester City,04-04-2020,15:00:00,LIV,Liverpool,"Etihad Stadium, Manchester",#MCILIV,,,,,,,,,
SUN,Sheffield United,04-04-2020,15:00:00,TOT,Tottenham Hotspur,"Bramall Lane, Sheffield",#SUNTOT,,,,,,,,,
WAT,Watford,04-04-2020,15:00:00,SOU,Southampton,"Vicarage Road, Watford",#WATSOU,,,,,,,,,
WHU,West Ham United,04-04-2020,15:00:00,CHE,Chelsea,"London Stadium, London",#WHUCHE,,,,,,,,,
BUR,Burnley,11-04-2020,15:00:00,SUN,Sheffield United,"Turf Moor, Burnley",#BURSUN,,,,,,,,,
CHE,Chelsea,11-04-2020,15:00:00,WAT,Watford,"Stamford Bridge, London",#CHEWAT,,,,,,,,,
LEI,Leicester City,11-04-2020,15:00:00,CRY,Crystal Palace,"King Power Stadium, Leicester",#LEICRY,,,,,,,,,
LIV,Liverpool,11-04-2020,15:00:00,VIL,Aston Villa,"Anfield, Liverpool",#LIVVIL,,,,,,,,,
MUN,Manchester United,11-04-2020,15:00:00,BOU,Bournemouth,"Old Trafford, Manchester",#MUNBOU,,,,,,,,,
NEW,Newcastle United,11-04-2020,15:00:00,WHU,West Ham United,"St. James' Park, Newcastle",#NEWWHU,,,,,,,,,
NOR,Norwich City,11-04-2020,15:00:00,BHA,Brighton & Hove Albion,"Carrow Road, Norwich",#NORBHA,,,,,,,,,
SOU,Southampton,11-04-2020,15:00:00,MCI,Manchester City,"St. Mary's Stadium, Southampton",#SOUMCI,,,,,,,,,
TOT,Tottenham Hotspur,11-04-2020,15:00:00,EVE,Everton,"Tottenham Hotspur Stadium, London",#TOTEVE,,,,,,,,,
WOL,Wolverhampton Wanderers,11-04-2020,15:00:00,ARS,Arsenal,"Molineux Stadium, Wolverhampton",#WOLARS,,,,,,,,,
ARS,Arsenal,18-04-2020,15:00:00,LEI,Leicester City,"Emirates Stadium, London",#ARSLEI,,,,,,,,,
VIL,Aston Villa,18-04-2020,15:00:00,MUN,Manchester United,"Villa Park, Birmingham",#VILMUN,,,,,,,,,
BOU,Bournemouth,18-04-2020,15:00:00,TOT,Tottenham Hotspur,"Vitality Stadium, Bournemouth",#BOUTOT,,,,,,,,,
BHA,Brighton & Hove Albion,18-04-2020,15:00:00,LIV,Liverpool,"Amex Stadium, Falmer",#BHALIV,,,,,,,,,
CRY,Crystal Palace,18-04-2020,15:00:00,CHE,Chelsea,"Selhurst Park, London",#CRYCHE,,,,,,,,,
EVE,Everton,18-04-2020,15:00:00,SOU,Southampton,"Goodison Park, Liverpool",#EVESOU,,,,,,,,,
MCI,Manchester City,18-04-2020,15:00:00,NEW,Newcastle United,"Etihad Stadium, Manchester",#MCINEW,,,,,,,,,
SUN,Sheffield United,18-04-2020,15:00:00,WOL,Wolverhampton Wanderers,"Bramall Lane, Sheffield",#SUNWOL,,,,,,,,,
WAT,Watford,18-04-2020,15:00:00,NOR,Norwich City,"Vicarage Road, Watford",#WATNOR,,,,,,,,,
WHU,West Ham United,18-04-2020,15:00:00,BUR,Burnley,"London Stadium, London",#WHUBUR,,,,,,,,,
VIL,Aston Villa,25-04-2020,15:00:00,CRY,Crystal Palace,"Villa Park, Birmingham",#VILCRY,,,,,,,,,
BOU,Bournemouth,25-04-2020,15:00:00,LEI,Leicester City,"Vitality Stadium, Bournemouth",#BOULEI,,,,,,,,,
BHA,Brighton & Hove Albion,25-04-2020,15:00:00,MCI,Manchester City,"Amex Stadium, Falmer",#BHAMCI,,,,,,,,,
LIV,Liverpool,25-04-2020,15:00:00,BUR,Burnley,"Anfield, Liverpool",#LIVBUR,,,,,,,,,
MUN,Manchester United,25-04-2020,15:00:00,SOU,Southampton,"Old Trafford, Manchester",#MUNSOU,,,,,,,,,
NOR,Norwich City,25-04-2020,15:00:00,WHU,West Ham United,"Carrow Road, Norwich",#NORWHU,,,,,,,,,
SUN,Sheffield United,25-04-2020,15:00:00,CHE,Chelsea,"Bramall Lane, Sheffield",#SUNCHE,,,,,,,,,
TOT,Tottenham Hotspur,25-04-2020,15:00:00,ARS,Arsenal,"Tottenham Hotspur Stadium, London",#TOTARS,,,,,,,,,
WAT,Watford,25-04-2020,15:00:00,NEW,Newcastle United,"Vicarage Road, Watford",#WATNEW,,,,,,,,,
WOL,Wolverhampton Wanderers,25-04-2020,15:00:00,EVE,Everton,"Molineux Stadium, Wolverhampton",#WOLEVE,,,,,,,,,
ARS,Arsenal,02-05-2020,15:00:00,LIV,Liverpool,"Emirates Stadium, London",#ARSLIV,,,,,,,,,
BUR,Burnley,02-05-2020,15:00:00,WOL,Wolverhampton Wanderers,"Turf Moor, Burnley",#BURWOL,,,,,,,,,
CHE,Chelsea,02-05-2020,15:00:00,NOR,Norwich City,"Stamford Bridge, London",#CHENOR,,,,,,,,,
CRY,Crystal Palace,02-05-2020,15:00:00,MUN,Manchester United,"Selhurst Park, London",#CRYMUN,,,,,,,,,
EVE,Everton,02-05-2020,15:00:00,VIL,Aston Villa,"Goodison Park, Liverpool",#EVEVIL,,,,,,,,,
LEI,Leicester City,02-05-2020,15:00:00,SUN,Sheffield United,"King Power Stadium, Leicester",#LEISUN,,,,,,,,,
MCI,Manchester City,02-05-2020,15:00:00,BOU,Bournemouth,"Etihad Stadium, Manchester",#MCIBOU,,,,,,,,,
NEW,Newcastle United,02-05-2020,15:00:00,TOT,Tottenham Hotspur,"St. James' Park, Newcastle",#NEWTOT,,,,,,,,,
SOU,Southampton,02-05-2020,15:00:00,BHA,Brighton & Hove Albion,"St. Mary's Stadium, Southampton",#SOUBHA,,,,,,,,,
WHU,West Ham United,02-05-2020,15:00:00,WAT,Watford,"London Stadium, London",#WHUWAT,,,,,,,,,
VIL,Aston Villa,09-05-2020,15:00:00,ARS,Arsenal,"Villa Park, Birmingham",#VILARS,,,,,,,,,
BOU,Bournemouth,09-05-2020,15:00:00,SOU,Southampton,"Vitality Stadium, Bournemouth",#BOUSOU,,,,,,,,,
BHA,Brighton & Hove Albion,09-05-2020,15:00:00,NEW,Newcastle United,"Amex Stadium, Falmer",#BHANEW,,,,,,,,,
LIV,Liverpool,09-05-2020,15:00:00,CHE,Chelsea,"Anfield, Liverpool",#LIVCHE,,,,,,,,,
MUN,Manchester United,09-05-2020,15:00:00,WHU,West Ham United,"Old Trafford, Manchester",#MUNWHU,,,,,,,,,
NOR,Norwich City,09-05-2020,15:00:00,BUR,Burnley,"Carrow Road, Norwich",#NORBUR,,,,,,,,,
SUN,Sheffield United,09-05-2020,15:00:00,EVE,Everton,"Bramall Lane, Sheffield",#SUNEVE,,,,,,,,,
TOT,Tottenham Hotspur,09-05-2020,15:00:00,LEI,Leicester City,"Tottenham Hotspur Stadium, London",#TOTLEI,,,,,,,,,
WAT,Watford,09-05-2020,15:00:00,MCI,Manchester City,"Vicarage Road, Watford",#WATMCI,,,,,,,,,
WOL,Wolverhampton Wanderers,09-05-2020,15:00:00,CRY,Crystal Palace,"Molineux Stadium, Wolverhampton",#WOLCRY,,,,,,,,,
ARS,Arsenal,17-05-2020,15:00:00,WAT,Watford,"Emirates Stadium, London",#ARSWAT,,,,,,,,,
BUR,Burnley,17-05-2020,15:00:00,BHA,Brighton & Hove Albion,"Turf Moor, Burnley",#BURBHA,,,,,,,,,
CHE,Chelsea,17-05-2020,15:00:00,WOL,Wolverhampton Wanderers,"Stamford Bridge, London",#CHEWOL,,,,,,,,,
CRY,Crystal Palace,17-05-2020,15:00:00,TOT,Tottenham Hotspur,"Selhurst Park, London",#CRYTOT,,,,,,,,,
EVE,Everton,17-05-2020,15:00:00,BOU,Bournemouth,"Goodison Park, Liverpool",#EVEBOU,,,,,,,,,
LEI,Leicester City,17-05-2020,15:00:00,MUN,Manchester United,"King Power Stadium, Leicester",#LEIMUN,,,,,,,,,
MCI,Manchester City,17-05-2020,15:00:00,NOR,Norwich City,"Etihad Stadium, Manchester",#MCINOR,,,,,,,,,
NEW,Newcastle United,17-05-2020,15:00:00,LIV,Liverpool,"St. James' Park, Newcastle",#NEWLIV,,,,,,,,,
SOU,Southampton,17-05-2020,15:00:00,SUN,Sheffield United,"St. Mary's Stadium, Southampton",#SOUSUN,,,,,,,,,
WHU,West Ham United,17-05-2020,15:00:00,VIL,Aston Villa,"London Stadium, London",#WHUVIL,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
